Mouse_ID,Gene,Gene_ID,Genotype,Sex,FED3,FED_StartDate,DOB,Weight1_Friday,Weight2_Monday,Weight3_Friday,Weight4_Monday,Weight5_Friday,Weight6_SI
CDKL5_005_178_78,CDKL5,005,Wt,F,33,2025-10-06,2025-07-19,18.69,18.83,19.58,18.98,19.61,20.47
CDKL5_005_179_14,CDKL5,005,Wt,F,34,2025-10-06,2025-08-07,16.92,16.63,17.79,17.06,18.67,17.98
CDKL5_005_179_20,CDKL5,005,Wt,F,35,2025-10-06,2025-08-07,15.93,15.61,16.67,16.26,17.38,17.24
CDKL5_005_180_66,CDKL5,005,Wt,F,27,2025-10-06,2025-07-16,19,19.27,19.73,19.06,19.56,20.73
CDKL5_005_182_64,CDKL5,005,Wt,F,28,2025-10-06,2025-07-16,19.32,19.26,20.61,19.16,20.21,20.2
CDKL5_005_182_65,CDKL5,005,Wt,F,45,2025-10-06,2025-07-16,19.24,19.05,20.04,19.66,20.74,20.97
CDKL5_005_183_74,CDKL5,005,Wt,F,50,2025-10-06,2025-07-17,19.29,18.43,20.53,18.98,21.04,19.8
CDKL5_005_183_75,CDKL5,005,Wt,F,26,2025-10-06,2025-07-17,20.41,19.37,20.59,20.38,21.01,20.78
CDKL5_005_184_3,CDKL5,005,Wt,F,37,2025-10-06,2025-07-24,17.83,17.23,19.18,18.4,19.27,18.88
CDKL5_005_179_17,CDKL5,005,Wt,M,38,2025-10-06,2025-08-07,23.03,22.24,22.4,22.23,22.7,22.32
CDKL5_005_180_67,CDKL5,005,Wt,M,53,2025-10-06,2025-07-16,25.27,24.61,25.7,24.89,24.67,25.13
CDKL5_005_180_69,CDKL5,005,Wt,M,19,2025-10-06,2025-07-16,24.76,23.8,25.98,23.86,24.06,24.2
CDKL5_005_182_57,CDKL5,005,Wt,M,20,2025-10-06,2025-07-16,25.52,24.94,25.74,24.85,25.21,25.2
CDKL5_005_186_53,CDKL5,005,Wt,M,52,2025-10-06,2025-07-16,25.14,24.64,25.32,24.47,24.92,24.7
CDKL5_005_275_28,CDKL5,005,Wt,M,40,2025-10-06,2025-08-06,23.52,22.96,23.92,23.18,23.86,23.44
CDKL5_005_275_29,CDKL5,005,Wt,M,46,2025-10-06,2025-08-06,22.71,21.77,22.82,21.97,22.45,22.95
CDKL5_005_281_35,CDKL5,005,Wt,M,25,2025-10-06,2025-08-06,22.58,22.24,23.03,22.39,23.56,22.49
