Mouse_ID,Background,Gene,Genotype,Sex,Litter,Sire_Geno,Dam_Geno
CDKL5_005_178_78,C57BL/6J,CDKL5,negative,F,178,Wt,Het
CDKL5_005_179_14,C57BL/6J,CDKL5,negative,F,179,Wt,Het
CDKL5_005_179_17,C57BL/6J,CDKL5,negative,M,179,Wt,Het
CDKL5_005_179_20,C57BL/6J,CDKL5,negative,F,179,Wt,Het
CDKL5_005_180_66,C57BL/6J,CDKL5,negative,F,180,Wt,Het
CDKL5_005_180_67,C57BL/6J,CDKL5,negative,M,180,Wt,Het
CDKL5_005_180_69,C57BL/6J,CDKL5,negative,M,180,Wt,Het
CDKL5_005_182_57,C57BL/6J,CDKL5,negative,M,182,Wt,Het
CDKL5_005_182_64,C57BL/6J,CDKL5,negative,F,182,Wt,Het
CDKL5_005_182_65,C57BL/6J,CDKL5,negative,F,182,Wt,Het
CDKL5_005_183_74,C57BL/6J,CDKL5,negative,F,183,Wt,Het
CDKL5_005_183_75,C57BL/6J,CDKL5,negative,F,183,Wt,Het
CDKL5_005_184_3,C57BL/6J,CDKL5,negative,F,184,Wt,Het
CDKL5_005_186_53,C57BL/6J,CDKL5,negative,M,186,Hemi,Het
CDKL5_005_275_28,C57BL/6J,CDKL5,negative,M,275,Hemi,Het
CDKL5_005_275_29,C57BL/6J,CDKL5,negative,M,275,Hemi,Het
CDKL5_005_281_35,C57BL/6J,CDKL5,negative,M,281,Wt,Het
CDKL5_005_281_36,C57BL/6J,CDKL5,negative,M,281,Wt,Het
ChowHFD_177,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_182,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_183,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_184,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_185,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_186,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_187,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_189,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_190,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_670,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_671,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_672,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
ChowHFD_674,C57BL/6J,C57BL/6J,N/A,M,N/A,Wt,Wt
CNTNAP2_008_242_53,C57BL/6J,CNTNAP2,negative,M,242,Het,Het
CNTNAP2_008_243_81,C57BL/6J,CNTNAP2,negative,F,243,Het,Het
CNTNAP2_008_243_82,C57BL/6J,CNTNAP2,negative,F,243,Het,Het
CNTNAP2_008_244_32,C57BL/6J,CNTNAP2,negative,M,244,Het,Het
CNTNAP2_008_244_35,C57BL/6J,CNTNAP2,negative,M,244,Het,Het
CNTNAP2_008_245_99,C57BL/6J,CNTNAP2,negative,M,245,Het,Het
CNTNAP2_008_246_28,C57BL/6J,CNTNAP2,negative,F,246,Het,Het
CNTNAP2_008_246_29,C57BL/6J,CNTNAP2,negative,M,246,Het,Het
CNTNAP2_008_247_49,C57BL/6J,CNTNAP2,negative,M,247,Het,Het
CNTNAP2_008_247_51,C57BL/6J,CNTNAP2,negative,M,247,Het,Het
CNTNAP2_008_248_45,C57BL/6J,CNTNAP2,negative,F,248,Het,Het
CNTNAP2_008_248_46,C57BL/6J,CNTNAP2,negative,F,248,Het,Het
CNTNAP2_008_248_48,C57BL/6J,CNTNAP2,negative,F,248,Het,Het
CNTNAP2_008_342_40,C57BL/6J,CNTNAP2,negative,M,342,Het,Het
CNTNAP2_008_352_55,C57BL/6J,CNTNAP2,negative,F,352,Het,Het
CNTNAP2_008_352_58,C57BL/6J,CNTNAP2,negative,F,352,Het,Het
DNMT3A_002_19_45,C57BL/6J,DNMT3A,negative,M,19,Het,Wt
DNMT3A_002_19_47,C57BL/6J,DNMT3A,negative,F,19,Het,Wt
DNMT3A_002_19_49,C57BL/6J,DNMT3A,negative,F,19,Het,Wt
DNMT3A_002_19_53,C57BL/6J,DNMT3A,negative,F,19,Het,Wt
DNMT3A_002_22_11,C57BL/6J,DNMT3A,negative,F,22,Wt,Het
DNMT3A_002_22_12,C57BL/6J,DNMT3A,negative,M,22,Wt,Het
DNMT3A_002_22_9,C57BL/6J,DNMT3A,negative,F,22,Wt,Het
DNMT3A_002_23_5,C57BL/6J,DNMT3A,negative,F,23,Wt,Het
DNMT3A_002_24_2,C57BL/6J,DNMT3A,negative,F,24,Het,Wt
DNMT3A_002_25_24,C57BL/6J,DNMT3A,negative,M,25,Het,Wt
DNMT3A_002_25_29,C57BL/6J,DNMT3A,negative,M,25,Het,Wt
DNMT3A_002_26_55,C57BL/6J,DNMT3A,negative,F,26,Het,Wt
DNMT3A_002_26_56,C57BL/6J,DNMT3A,negative,F,26,Het,Wt
DNMT3A_002_26_59,C57BL/6J,DNMT3A,negative,M,26,Het,Wt
DNMT3A_002_27_40,C57BL/6J,DNMT3A,negative,M,27,Het,Wt
DNMT3A_002_28_31,C57BL/6J,DNMT3A,negative,M,28,Het,Wt
FMR1_007_207_61,C57BL/6J,FMR1,negative,F,207,Wt,Het
FMR1_007_210_79,C57BL/6J,FMR1,negative,M,210,Wt,Het
FMR1_007_211_81,C57BL/6J,FMR1,negative,F,211,Wt,Het
FMR1_007_211_83,C57BL/6J,FMR1,negative,F,211,Wt,Het
FMR1_007_213_39,C57BL/6J,FMR1,negative,M,213,Wt,Het
FMR1_007_213_40,C57BL/6J,FMR1,negative,F,213,Wt,Het
FMR1_007_214_94,C57BL/6J,FMR1,negative,M,214,Wt,Het
FMR1_007_214_98,C57BL/6J,FMR1,negative,M,214,Wt,Het
FMR1_007_218_77,C57BL/6J,FMR1,negative,M,218,Hemi,Het
FMR1_007_221_47,C57BL/6J,FMR1,negative,M,221,Hemi,Het
FMR1_007_221_51,C57BL/6J,FMR1,negative,M,221,Hemi,Het
FMR1_007_307_40,C57BL/6J,FMR1,negative,F,307,Wt,Het
MYT1L_001_1_1,C57BL/6J,MYT1L,negative,F,1,Het,Wt
MYT1L_001_1_3,C57BL/6J,MYT1L,negative,M,1,Het,Wt
MYT1L_001_1_4,C57BL/6J,MYT1L,negative,F,1,Het,Wt
MYT1L_001_10_42,C57BL/6J,MYT1L,negative,F,10,Wt,Het
MYT1L_001_10_44,C57BL/6J,MYT1L,negative,M,10,Wt,Het
MYT1L_001_12_45,C57BL/6J,MYT1L,negative,M,12,Wt,Het
MYT1L_001_12_48,C57BL/6J,MYT1L,negative,F,12,Wt,Het
MYT1L_001_2_6,C57BL/6J,MYT1L,negative,F,2,Het,Wt
MYT1L_001_2_9,C57BL/6J,MYT1L,negative,M,2,Het,Wt
MYT1L_001_3_19,C57BL/6J,MYT1L,negative,M,3,Het,Wt
MYT1L_001_5_22,C57BL/6J,MYT1L,negative,M,5,Het,Wt
MYT1L_001_5_23,C57BL/6J,MYT1L,negative,F,5,Het,Wt
MYT1L_001_5_26,C57BL/6J,MYT1L,negative,M,5,Het,Wt
MYT1L_001_5_27,C57BL/6J,MYT1L,negative,F,5,Het,Wt
MYT1L_001_7_30,C57BL/6J,MYT1L,negative,M,7,Wt,Het
MYT1L_001_7_32,C57BL/6J,MYT1L,negative,F,7,Wt,Het
MYT1L_001_8_34,C57BL/6J,MYT1L,negative,M,8,Wt,Het
MYT1L_001_8_36,C57BL/6J,MYT1L,negative,M,8,Wt,Het
MYT1L_001_8_41,C57BL/6J,MYT1L,negative,F,8,Wt,Het
MYT1L_001_9_11,C57BL/6J,MYT1L,negative,F,9,Wt,Het
NF1_003_140_12,C57BL/6J,NF1,negative,F,140,Wt,Het
NF1_003_140_15,C57BL/6J,NF1,negative,F,140,Wt,Het
NF1_003_140_8,C57BL/6J,NF1,negative,F,140,Wt,Het
NF1_003_141_19,C57BL/6J,NF1,negative,F,141,Wt,Het
NF1_003_141_23,C57BL/6J,NF1,negative,M,141,Wt,Het
NF1_003_142_55,C57BL/6J,NF1,negative,M,142,unknown,unknown
NF1_003_144_26,C57BL/6J,NF1,negative,M,144,Wt,Het
NF1_003_144_28,C57BL/6J,NF1,negative,M,144,Wt,Het
NF1_003_145_34,C57BL/6J,NF1,negative,M,145,Wt,Het
NF1_003_146_42,C57BL/6J,NF1,negative,F,146,Het,Wt
NF1_003_146_46,C57BL/6J,NF1,negative,M,146,Het,Wt
NF1_003_146_50,C57BL/6J,NF1,negative,M,146,Het,Wt
NF1_003_147_2,C57BL/6J,NF1,negative,F,147,Het,Wt
SHANK3B_004_115_85,C57BL/6J,SHANK3B,negative,F,115,Het,Het
SHANK3B_004_120_96,C57BL/6J,SHANK3B,negative,M,120,Het,Het
SHANK3B_004_122_12,C57BL/6J,SHANK3B,negative,F,122,Het,Het
SHANK3B_004_122_15,C57BL/6J,SHANK3B,negative,F,122,Het,Het
SHANK3B_004_126_28,C57BL/6J,SHANK3B,negative,F,126,Het,Het
SHANK3B_004_126_31,C57BL/6J,SHANK3B,negative,M,126,Het,Het
SHANK3B_004_68_23,C57BL/6J,SHANK3B,negative,M,68,Het,Het
SHANK3B_004_69_32,C57BL/6J,SHANK3B,negative,M,69,Het,Het
SHANK3B_004_69_33,C57BL/6J,SHANK3B,negative,F,69,Het,Het
SHANK3B_004_70_4,C57BL/6J,SHANK3B,negative,M,70,Het,Het
SHANK3B_004_71_38,C57BL/6J,SHANK3B,negative,F,71,Het,Het
SHANK3B_004_72_63,C57BL/6J,SHANK3B,negative,M,72,Het,Het
SHANK3B_004_73_12,C57BL/6J,SHANK3B,negative,F,73,Het,Het
SHANK3B_004_73_16,C57BL/6J,SHANK3B,negative,F,73,Het,Het
SHANK3B_004_75_47,C57BL/6J,SHANK3B,negative,M,75,Het,Het
SHANK3B_004_77_56,C57BL/6J,SHANK3B,negative,M,77,Het,Het
WAC_006_198_77,C57BL/6J,WAC,negative,M,198,Het,Wt
WAC_006_199_93,C57BL/6J,WAC,negative,M,199,Het,Wt
WAC_006_199_95,C57BL/6J,WAC,negative,F,199,Het,Wt
WAC_006_200_85,C57BL/6J,WAC,negative,F,200,Wt,Het
WAC_006_200_87,C57BL/6J,WAC,negative,M,200,Wt,Het
WAC_006_201_83,C57BL/6J,WAC,negative,F,201,Wt,Het
WAC_006_201_84,C57BL/6J,WAC,negative,F,201,Wt,Het
WAC_006_203_6,C57BL/6J,WAC,negative,F,203,Het,Wt
WAC_006_235_13,C57BL/6J,WAC,negative,F,235,Het,Wt
WAC_006_235_20,C57BL/6J,WAC,negative,F,235,Het,Wt
WAC_006_260_25,C57BL/6J,WAC,negative,M,260,Wt,Het
WAC_006_264_30,C57BL/6J,WAC,negative,M,264,Het,Wt
