Filename,Task,Strain,MomGenotype,DadGenotype,SSPsyGene_number,Animal_ID,Sex,Genotype,DOB,FED3,Start_Date,StartWeight,EndWeight
,,MYT1L,,,1,7_32,f,Wt,12/13/2024,017,3/3/2025,,
,,MYT1L,,,1,8_34,m,Wt,12/13/2024,037,3/3/2025,,
,,MYT1L,,,1,8_36,m,Wt,12/13/2024,038,3/3/2025,,
,,MYT1L,,,1,8_41,f,Wt,12/13/2024,018,3/3/2025,,
,,MYT1L,,,1,10_42,f,Wt,12/13/2024,019,3/3/2025,,
,,MYT1L,,,1,10_44,m,Wt,12/13/2024,039,3/3/2025,,
,,MYT1L,,,1,12_45,m,Wt,12/12/2024,040,3/3/2025,,
,,MYT1L,,,1,12_48,f,Wt,12/12/2024,020,3/3/2025,,
,,MYT1L,,,1,1_1,f,Wt,12/12/2024,011,3/3/2025,,
,,MYT1L,,,1,1_3,m,Wt,12/12/2024,034,3/3/2025,,
,,MYT1L,,,1,1_4,f,Wt,12/12/2024,014,3/3/2025,,
,,MYT1L,,,1,2_6,f,Wt,12/12/2024,015,3/3/2025,,
,,MYT1L,,,1,2_9,m,Wt,12/12/2024,035,3/3/2025,,
,,MYT1L,,,1,3_19,m,Wt,12/13/2024,031,3/3/2025,,
,,MYT1L,,,1,3_20,m,Wt,12/13/2024,024,3/3/2025,,
,,MYT1L,,,1,5_22,m,Wt,12/13/2024,032,3/3/2025,,
,,MYT1L,,,1,5_23,f,Wt,12/13/2024,012,3/3/2025,,
,,MYT1L,,,1,5_26,m,Wt,12/13/2024,033,3/3/2025,,
,,MYT1L,,,1,5_27,f,Wt,12/13/2024,013,3/3/2025,,
,,MYT1L,,,1,7_30,m,Wt,12/13/2024,036,3/3/2025,,
,,MYT1L,,,1,9_11,f,Wt,12/12/2024,016,3/3/2025,,
,,DNMT3a,,,002,22_11,f,Wt,1/8/2025,007,3/31/2025,,
,,DNMT3a,,,002,22_12,m,Wt,1/8/2025,015,3/31/2025,,
,,DNMT3a,,,002,22_9,f,Wt,1/8/2025,008,3/31/2025,,
