MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-03-03 14:34:59,1.17.0,Bandit100,12,4.16,,20,0,100,Right,Right,0,1,0,0,,,0.44
2025-03-03 18:47:26,1.17.0,Bandit100,12,4.15,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.01
2025-03-03 19:11:18,1.17.0,Bandit100,12,4.14,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.05
2025-03-03 19:14:58,1.17.0,Bandit100,12,4.15,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.01
2025-03-03 19:19:01,1.17.0,Bandit100,12,4.14,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.21
2025-03-03 19:23:35,1.17.0,Bandit100,12,4.14,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.27
2025-03-03 19:26:21,1.17.0,Bandit100,12,4.14,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.03
2025-03-03 19:58:07,1.17.0,Bandit100,12,4.14,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.07
2025-03-03 19:58:24,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.15
2025-03-03 20:05:40,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.03
2025-03-03 20:13:29,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.01
2025-03-03 20:28:48,1.17.0,Bandit100,12,4.14,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.09
2025-03-03 20:29:22,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.03
2025-03-03 20:29:38,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.06
2025-03-03 20:35:01,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.33
2025-03-03 20:36:54,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.05
2025-03-03 20:39:16,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.15
2025-03-03 20:42:32,1.17.0,Bandit100,12,4.14,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.06
