MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-09-08 15:14:31,1.17.0,Bandit,18,4.19,,30,100,0,Left,Left,1,0,0,0,,,0.65
2024-09-08 15:29:52,1.17.0,Bandit,18,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.43
2024-09-08 15:37:41,1.17.0,Bandit,18,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.35
2024-09-08 15:39:01,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.11
2024-09-08 15:42:37,1.17.0,Bandit,18,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.18
2024-09-08 15:45:14,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.33
2024-09-08 15:51:03,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.29
2024-09-08 15:53:56,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.29
2024-09-08 15:56:26,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.23
2024-09-08 15:56:58,1.17.0,Bandit,18,4.19,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.25
2024-09-08 16:03:50,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.5
2024-09-08 16:04:11,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,1.31
2024-09-08 16:18:06,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.21
2024-09-08 16:22:36,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.59
2024-09-08 16:32:19,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.77
2024-09-08 16:32:31,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.15
2024-09-08 16:33:17,1.17.0,Bandit,18,4.18,3.0,30,100,0,Pellet,Left,1,0,1,0,,,
2024-09-08 16:33:53,1.17.0,Bandit,18,4.19,,30,100,0,Right,Left,1,1,1,1,,,0.44
2024-09-08 16:35:24,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,2,1,1,1,,,0.26
2024-09-08 16:39:40,1.17.0,Bandit,18,4.16,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.2
2024-09-08 16:48:43,1.17.0,Bandit,18,4.18,,30,100,0,LeftWithPellet,Left,2,1,1,1,,,0.07
2024-09-08 16:50:00,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.17
2024-09-08 16:51:57,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.35
2024-09-08 16:51:59,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.02
2024-09-08 16:52:00,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.03
2024-09-08 16:52:01,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.15
2024-09-08 16:53:17,1.17.0,Bandit,18,4.18,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.14
2024-09-08 16:53:22,1.17.0,Bandit,18,4.19,,30,100,0,RightWithPellet,Left,2,1,1,1,,,0.21
2024-09-08 17:00:39,1.17.0,Bandit,18,4.18,3.0,30,100,0,Pellet,Left,2,1,2,1,,1642.0,
2024-09-08 17:00:58,1.17.0,Bandit,18,4.18,,30,100,0,Right,Left,2,2,2,2,,,0.0
2024-09-08 17:06:22,1.17.0,Bandit,18,4.18,,30,100,0,Right,Left,2,3,2,2,,,0.02
2024-09-08 17:10:43,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,3,3,2,2,,,0.91
2024-09-08 17:11:11,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,3,3,3,2,24.15,632.0,
2024-09-08 17:21:26,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,4,3,3,3,,,0.35
2024-09-08 18:41:17,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,4,3,4,3,,5406.0,
2024-09-08 18:47:06,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,5,3,4,4,,,0.49
2024-09-08 18:47:55,1.17.0,Bandit,18,4.18,2.0,30,100,0,Pellet,Left,5,3,5,4,44.11,398.0,
2024-09-08 18:48:48,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,5,4,5,5,,,0.48
2024-09-08 18:50:12,1.17.0,Bandit,18,4.18,,30,100,0,Right,Left,5,5,5,5,,,0.18
2024-09-08 18:52:54,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,6,5,5,5,,,0.76
2024-09-08 18:53:35,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,6,5,6,5,37.63,340.0,
2024-09-08 18:54:22,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,6,6,6,6,,,0.72
2024-09-08 18:57:23,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,7,6,6,6,,,0.84
2024-09-08 18:57:36,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,7,6,7,6,8.88,241.0,
2024-09-08 19:00:25,1.17.0,Bandit,18,4.18,,30,100,0,Right,Left,7,7,7,7,,,0.37
2024-09-08 19:09:06,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,8,7,7,7,,,0.2
2024-09-08 19:09:30,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,8,7,8,7,21.03,714.0,
2024-09-08 19:09:51,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,8,8,8,8,,,0.22
2024-09-08 19:15:34,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,9,8,8,8,,,0.32
2024-09-08 19:15:42,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,9,8,9,8,4.81,372.0,
2024-09-08 19:19:13,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,10,8,9,9,,,0.42
2024-09-08 19:19:21,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,10,8,10,9,4.24,219.0,
2024-09-08 19:20:30,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,10,9,10,10,,,0.04
2024-09-08 19:21:02,1.17.0,Bandit,18,4.18,,30,100,0,Right,Left,10,10,10,10,,,0.09
2024-09-08 19:24:39,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,11,10,10,10,,,0.36
2024-09-08 19:24:51,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,11,10,11,10,8.43,330.0,
2024-09-08 19:25:26,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,12,10,11,11,,,0.37
2024-09-08 19:25:33,1.17.0,Bandit,18,4.18,1.0,30,100,0,Pellet,Left,12,10,12,11,3.93,42.0,
2024-09-08 19:25:54,1.17.0,Bandit,18,4.18,,30,100,0,Left,Left,13,10,12,12,,,0.4
2024-09-08 19:26:00,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,13,10,13,12,2.53,27.0,
2024-09-08 20:36:37,1.17.0,Bandit,18,4.16,,30,100,0,Left,Left,14,10,13,13,,,0.07
2024-09-08 20:36:43,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,14,10,14,13,3.04,4243.0,
2024-09-08 20:41:15,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,14,11,14,14,,,0.56
2024-09-08 20:43:42,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,14,12,14,14,,,0.21
2024-09-08 20:44:19,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,14,13,14,14,,,0.59
2024-09-08 20:52:41,1.17.0,Bandit,18,4.16,,30,100,0,Right,Left,14,14,14,14,,,0.0
2024-09-08 20:53:14,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,14,15,14,14,,,0.55
2024-09-08 20:58:44,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,15,15,14,14,,,0.09
2024-09-08 20:58:51,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,15,15,15,14,3.55,1328.0,
2024-09-08 20:59:41,1.17.0,Bandit,18,4.16,,30,100,0,Left,Left,16,15,15,15,,,0.05
2024-09-08 20:59:47,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,16,15,16,15,2.28,56.0,
2024-09-08 21:02:51,1.17.0,Bandit,18,4.16,,30,100,0,Left,Left,17,15,16,16,,,0.02
2024-09-08 21:02:57,1.17.0,Bandit,18,4.16,1.0,30,100,0,Pellet,Left,17,15,17,16,2.78,190.0,
2024-09-08 21:03:57,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,18,15,17,17,,,0.3
2024-09-08 21:04:06,1.17.0,Bandit,18,4.17,2.0,30,100,0,Pellet,Left,18,15,18,17,5.39,69.0,
2024-09-08 21:06:32,1.17.0,Bandit,18,4.17,,30,100,0,Right,Left,18,16,18,18,,,0.03
2024-09-08 21:07:18,1.17.0,Bandit,18,4.16,,30,100,0,Right,Left,18,17,18,18,,,0.49
2024-09-08 21:07:32,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,19,17,18,18,,,0.0
2024-09-08 21:07:38,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,19,17,19,18,2.72,212.0,
2024-09-08 21:08:50,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,20,17,19,19,,,0.12
2024-09-08 21:08:56,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,20,17,20,19,3.1,78.0,
2024-09-08 21:12:51,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,21,17,20,20,,,0.04
2024-09-08 21:12:55,1.17.0,Bandit,18,4.17,1.0,30,100,0,Pellet,Left,21,17,21,20,0.82,239.0,
2024-09-08 21:13:39,1.17.0,Bandit,18,4.16,,30,100,0,Left,Left,22,17,21,21,,,0.11
2024-09-08 21:13:43,1.17.0,Bandit,18,4.16,1.0,30,100,0,Pellet,Left,22,17,22,21,0.56,48.0,
2024-09-08 21:14:07,1.17.0,Bandit,18,4.16,,30,100,0,Left,Left,23,17,22,22,,,0.13
2024-09-08 21:14:14,1.17.0,Bandit,18,4.16,2.0,30,100,0,Pellet,Left,23,17,23,22,1.51,31.0,
2024-09-08 21:16:29,1.17.0,Bandit,18,4.17,,30,100,0,Left,Left,24,17,23,23,,,0.21
