Mouse_ID,Session_type_x,Gene,Gene_ID,Sex$,Genotype$,FED3,FED_StartDate
C57HFD_333_177,Bandit80,C57HFD,333,m,Wt,74,7/21/25
C57HFD_333_178,Bandit80,C57HFD,333,m,Wt,77,7/21/25
C57HFD_333_179,Bandit80,C57HFD,333,m,Wt,76,7/21/25
C57HFD_333_180,Bandit80,C57HFD,333,m,Wt,72,7/21/25
C57HFD_333_182,Bandit80,C57HFD,333,m,Wt,70,7/21/25
C57HFD_333_183,Bandit80,C57HFD,333,m,Wt,65,7/21/25
C57HFD_333_184,Bandit80,C57HFD,333,m,Wt,80,7/21/25
C57HFD_333_185,Bandit80,C57HFD,333,m,Wt,79,7/21/25
C57HFD_333_186,Bandit80,C57HFD,333,m,Wt,66,7/21/25
C57HFD_333_187,Bandit80,C57HFD,333,m,Wt,71,7/21/25
C57HFD_333_188,Bandit80,C57HFD,333,m,Wt,68,7/21/25
C57HFD_333_189,Bandit80,C57HFD,333,m,Wt,59,7/21/25
C57HFD_333_190,Bandit80,C57HFD,333,m,Wt,60,7/21/25
C57HFD_333_191,Bandit80,C57HFD,333,m,Wt,40,7/21/25
C57HFD_333_670,Bandit80,C57HFD,333,m,Wt,62,7/21/25
C57HFD_333_671,Bandit80,C57HFD,333,m,Wt,63,7/21/25
C57HFD_333_672,Bandit80,C57HFD,333,m,Wt,61,7/21/25
C57HFD_333_673,Bandit80,C57HFD,333,m,Wt,69,7/21/25
C57HFD_333_674,Bandit80,C57HFD,333,m,Wt,67,7/21/25
CDKL5_005_178_78,Bandit80,CDKL5,5,f,Wt,33,10/6/25
CDKL5_005_178_83,Bandit80,CDKL5,5,f,Wt,36,10/6/25
CDKL5_005_179_14,Bandit80,CDKL5,5,f,Wt,34,10/6/25
CDKL5_005_179_17,Bandit80,CDKL5,5,m,Wt,38,10/6/25
CDKL5_005_179_20,Bandit80,CDKL5,5,f,Wt,35,10/6/25
CDKL5_005_180_66,Bandit80,CDKL5,5,f,Wt,27,10/6/25
CDKL5_005_180_67,Bandit80,CDKL5,5,m,Wt,53,10/6/25
CDKL5_005_180_69,Bandit80,CDKL5,5,m,Wt,19,10/6/25
CDKL5_005_182_57,Bandit80,CDKL5,5,m,Wt,20,10/6/25
CDKL5_005_182_64,Bandit80,CDKL5,5,f,Wt,28,10/6/25
CDKL5_005_182_65,Bandit80,CDKL5,5,f,Wt,45,10/6/25
CDKL5_005_183_74,Bandit80,CDKL5,5,f,Wt,50,10/6/25
CDKL5_005_183_75,Bandit80,CDKL5,5,f,Wt,26,10/6/25
CDKL5_005_184_3,Bandit80,CDKL5,5,f,Wt,37,10/6/25
CDKL5_005_186_53,Bandit80,CDKL5,5,m,Wt,52,10/6/25
CDKL5_005_186_55,Bandit80,CDKL5,5,m,Wt,18,10/6/25
CDKL5_005_275_28,Bandit80,CDKL5,5,m,Wt,40,10/6/25
CDKL5_005_275_29,Bandit80,CDKL5,5,m,Wt,46,10/6/25
CDKL5_005_281_35,Bandit80,CDKL5,5,m,Wt,25,10/6/25
CDKL5_005_281_36,Bandit80,CDKL5,5,m,Wt,39,10/6/25
DNMT3a_002_19_45,Bandit80,DNMT3a,2,m,Wt,19,4/28/25
DNMT3a_002_19_47,Bandit80,DNMT3a,2,f,Wt,10,4/28/25
DNMT3a_002_19_49,Bandit80,DNMT3a,2,f,Wt,12,4/28/25
DNMT3a_002_19_53,Bandit80,DNMT3a,2,f,Wt,9,4/28/25
DNMT3a_002_22_11,Bandit80,DNMT3a,2,f,Wt,7,3/31/25
DNMT3a_002_22_12,Bandit80,DNMT3a,2,m,Wt,15,3/31/25
DNMT3a_002_22_9,Bandit80,DNMT3a,2,f,Wt,8,3/31/25
DNMT3a_002_23_5,Bandit80,DNMT3a,2,f,Wt,9,3/31/25
DNMT3a_002_24_2,Bandit80,DNMT3a,2,f,Wt,6,3/31/25
DNMT3a_002_25_24,Bandit80,DNMT3a,2,m,Wt,17,3/31/25
DNMT3a_002_25_27,Bandit80,DNMT3a,2,m,Wt,18,3/31/25
DNMT3a_002_25_29,Bandit80,DNMT3a,2,m,Wt,19,3/31/25
DNMT3a_002_26_55,Bandit80,DNMT3a,2,f,Wt,7,4/28/25
DNMT3a_002_26_56,Bandit80,DNMT3a,2,f,Wt,11,4/28/25
DNMT3a_002_27_40,Bandit80,DNMT3a,2,m,Wt,20,4/28/25
DNMT3a_002_28_30,Bandit80,DNMT3a,2,f,Wt,10,3/31/25
DNMT3a_002_28_31,Bandit80,DNMT3a,2,m,Wt,22,4/28/25
DNMT3a_002_30_66,Bandit80,DNMT3a,2,m,Wt,18,4/28/25
MYT1L_001_10_42,Bandit80,MYT1L,1,f,Wt,19,3/3/25
MYT1L_001_10_44,Bandit80,MYT1L,1,m,Wt,39,3/3/25
MYT1L_001_12_45,Bandit80,MYT1L,1,m,Wt,40,3/3/25
MYT1L_001_12_48,Bandit80,MYT1L,1,f,Wt,20,3/3/25
MYT1L_001_1_1,Bandit80,MYT1L,1,f,Wt,11,3/3/25
MYT1L_001_1_3,Bandit80,MYT1L,1,m,Wt,34,3/3/25
MYT1L_001_1_4,Bandit80,MYT1L,1,f,Wt,14,3/3/25
MYT1L_001_2_6,Bandit80,MYT1L,1,f,Wt,15,3/3/25
MYT1L_001_2_9,Bandit80,MYT1L,1,m,Wt,35,3/3/25
MYT1L_001_3_19,Bandit80,MYT1L,1,m,Wt,31,3/3/25
MYT1L_001_5_22,Bandit80,MYT1L,1,m,Wt,32,3/3/25
MYT1L_001_5_23,Bandit80,MYT1L,1,f,Wt,12,3/3/25
MYT1L_001_5_26,Bandit80,MYT1L,1,m,Wt,33,3/3/25
MYT1L_001_5_27,Bandit80,MYT1L,1,f,Wt,13,3/3/25
MYT1L_001_7_30,Bandit80,MYT1L,1,m,Wt,36,3/3/25
MYT1L_001_7_32,Bandit80,MYT1L,1,f,Wt,17,3/3/25
MYT1L_001_8_34,Bandit80,MYT1L,1,m,Wt,37,3/3/25
MYT1L_001_8_36,Bandit80,MYT1L,1,m,Wt,38,3/3/25
MYT1L_001_8_41,Bandit80,MYT1L,1,f,Wt,18,3/3/25
