session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,lapse,best_loss,Mouse_ID,Gene,Sex
257,168,0.653696498,0.704280156,-0.073929961,0.336595744,20,0.183054402,0.864613295,0.390642315,0.501522079,CDKL5_005_180_67,CDKL5,M
327,180,0.550458716,0.614678899,0.094801223,0.924897909,20,0.542110741,0.505029619,0.634091735,0.63709812,CDKL5_005_184_3,CDKL5,F
250,166,0.664,0.68,-0.088,0.366638899,20,-0.780430794,0.149446398,0.466253817,0.558043396,CDKL5_005_275_29,CDKL5,M
343,188,0.548104956,0.594752187,-0.072886297,0.636777163,20,-0.100259893,0.997926831,0.552939713,0.604299962,CNTNAP2_008_243_81,CNTNAP2,F
237,150,0.632911392,0.675105485,0.046413502,0.765649557,20,0.572276354,0.267989874,0.521499097,0.578485288,CNTNAP2_008_352_58,CNTNAP2,F
249,157,0.630522088,0.722891566,-0.012048193,0.766259909,20,-0.108829357,0.926809311,0.287931532,0.442546982,ChowHFD_186,C57B6/J,M
208,120,0.576923077,0.625,0.105769231,0,20,-0.41821757,0.998437762,0.288455367,0.412571173,DNMT3A_002_23_5,DNMT3A,F
226,127,0.561946903,0.646017699,0.044247788,0.477750987,20,-0.108304277,0.65678072,0.199426726,0.34148515,DNMT3A_002_26_59,DNMT3A,M
246,137,0.556910569,0.605691057,0.203252033,0.128944725,20,0.613934398,0.68360734,0.469907999,0.551255203,FMR1_007_211_81,FMR1,F
230,132,0.573913043,0.656521739,0.060869565,0.694993019,20,0.423561126,0.242774591,0.57483238,0.604997519,MYT1L_001_12_48,MYT1L,F
311,187,0.601286174,0.63022508,-0.022508039,0.178632438,20,0.133915439,0.595083177,0.543485522,0.593506056,SHANK3B_004_115_85,SHANK3B,F
279,157,0.562724014,0.677419355,-0.146953405,0.328847378,20,-0.485845089,0.299902976,0.58084178,0.610191318,SHANK3B_004_126_28,SHANK3B,F
247,158,0.639676113,0.684210526,-0.133603239,0.878532588,20,-0.542833626,0.464056522,0.386656463,0.523010995,SHANK3B_004_126_31,SHANK3B,M
207,126,0.608695652,0.632850242,-0.149758454,0.034851838,20,-0.017151639,0.427636027,0.295280457,0.438441843,SHANK3B_004_73_12,SHANK3B,F
282,167,0.592198582,0.638297872,-0.127659574,0.409458041,20,-0.510758042,0.475171,0.383104682,0.506368542,SHANK3B_004_75_47,SHANK3B,M
275,154,0.56,0.6,0.025454545,0.357514322,20,-0.343316436,0.484292656,0.622848868,0.625380526,SHANK3B_004_77_56,SHANK3B,M
271,150,0.553505535,0.616236162,-0.040590406,0.283003181,20,-0.312389135,0.040087532,0.698449969,0.649652573,WAC_006_200_85,WAC,F
301,178,0.591362126,0.647840532,-0.096345515,0.239040807,20,-0.542800903,0.339776158,0.375633299,0.499123659,WAC_006_203_6,WAC,F
263,144,0.547528517,0.619771863,-0.140684411,0.07199946,19.63233566,-0.439894527,0.732789516,0.351595491,0.476996534,CDKL5_005_186_53,CDKL5,M
227,88,0.387665198,0.550660793,-0.215859031,1,19.18354225,-0.522235036,0.568454206,0.399617553,0.534395596,FMR1_007_221_47,FMR1,M
328,170,0.518292683,0.527439024,0.067073171,0.153299242,17.91807175,-0.083814733,1,0.646620333,0.632634698,FMR1_007_213_40,FMR1,F
303,175,0.577557756,0.650165017,0.00330033,0.266518444,17.59464073,-0.199291185,0.712730348,0.528272212,0.589872253,MYT1L_001_5_26,MYT1L,M
