session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,best_loss,Mouse_ID,Gene,Sex
316,165,0.522151899,0.553797468,-0.094936709,0.163141742,0.895687878,-0.297953874,0.855282605,0.575301448,CDKL5_005_178_78,CDKL5,F
245,151,0.616326531,0.681632653,-0.102040816,0.782960415,1.120998144,-0.312495261,0.455856651,0.536181641,CDKL5_005_179_14,CDKL5,F
218,149,0.683486239,0.706422018,-0.018348624,,,,,,CDKL5_005_179_17,CDKL5,M
192,143,0.744791667,0.765625,0.020833333,,,,,,CDKL5_005_179_20,CDKL5,F
248,144,0.580645161,0.629032258,-0.008064516,,,,,,CDKL5_005_180_66,CDKL5,F
257,168,0.653696498,0.704280156,-0.073929961,1,0.842761993,-0.122050531,1,0.518245474,CDKL5_005_180_67,CDKL5,M
262,159,0.606870229,0.694656489,-0.030534351,0.00320774,4.242520332,0.003414656,0.206520215,0.603250751,CDKL5_005_180_69,CDKL5,M
277,186,0.671480144,0.718411552,-0.032490975,,,,,,CDKL5_005_182_57,CDKL5,M
282,164,0.581560284,0.617021277,0.056737589,,,,,,CDKL5_005_182_64,CDKL5,F
274,173,0.631386861,0.667883212,0.051094891,,,,,,CDKL5_005_182_65,CDKL5,F
277,184,0.664259928,0.700361011,-0.061371841,0.829010248,0.938773036,-0.244851276,1,0.489061046,CDKL5_005_183_74,CDKL5,F
254,157,0.618110236,0.68503937,0.007874016,,,,,,CDKL5_005_183_75,CDKL5,F
327,180,0.550458716,0.614678899,0.094801223,0.592303693,0.545456409,0.425544381,0.526293635,0.648452899,CDKL5_005_184_3,CDKL5,F
263,144,0.547528517,0.619771863,-0.140684411,,,,,,CDKL5_005_186_53,CDKL5,M
284,154,0.542253521,0.64084507,-0.281690141,0.482862473,1.263049126,-0.635545492,1,0.394071498,CDKL5_005_275_28,CDKL5,M
250,166,0.664,0.68,-0.088,0.514918864,0.922636449,-0.398821354,0.643471777,0.559647705,CDKL5_005_275_29,CDKL5,M
252,174,0.69047619,0.714285714,0.03968254,1,0.877613902,0.015741227,1,0.498074971,CDKL5_005_281_35,CDKL5,M
264,173,0.65530303,0.678030303,0.257575758,,,,,,CDKL5_005_281_36,CDKL5,M
302,203,0.67218543,0.688741722,0,,,,,,CNTNAP2_008_242_53,CNTNAP2,M
343,188,0.548104956,0.594752187,-0.072886297,0,1.653774023,-0.066619761,0.447867274,0.626966827,CNTNAP2_008_243_81,CNTNAP2,F
305,205,0.672131148,0.71147541,0.08852459,0.997074187,0.819512665,0.360195339,0.670812547,0.57098884,CNTNAP2_008_243_82,CNTNAP2,F
300,167,0.556666667,0.583333333,-0.053333333,,,,,,CNTNAP2_008_244_32,CNTNAP2,M
284,177,0.623239437,0.665492958,0.028169014,,,,,,CNTNAP2_008_244_35,CNTNAP2,M
218,145,0.665137615,0.69266055,0.04587156,0.387901515,1.590682745,-0.01785027,0.355868638,0.481344031,CNTNAP2_008_245_99,CNTNAP2,M
264,169,0.640151515,0.689393939,-0.060606061,,,,,,CNTNAP2_008_246_28,CNTNAP2,F
328,212,0.646341463,0.667682927,-0.048780488,0.939977944,0.70922184,-0.118115082,1,0.560169034,CNTNAP2_008_246_29,CNTNAP2,M
275,183,0.665454545,0.716363636,0.090909091,0.932481408,0.896005154,0.347082943,1,0.502780373,CNTNAP2_008_247_49,CNTNAP2,M
265,203,0.766037736,0.830188679,0.094339623,0.940201283,1.13281405,0.211984023,0.928334951,0.42923489,CNTNAP2_008_247_51,CNTNAP2,M
274,142,0.518248175,0.572992701,-0.051094891,,,,,,CNTNAP2_008_248_45,CNTNAP2,F
251,116,0.462151394,0.629482072,-0.003984064,0.652327776,0.509205282,-0.005730974,0.825416982,0.648706809,CNTNAP2_008_248_46,CNTNAP2,F
297,172,0.579124579,0.63973064,0.205387205,1,0.857591569,0.676739633,0.716412842,0.548137986,CNTNAP2_008_248_48,CNTNAP2,F
284,193,0.679577465,0.746478873,-0.042253521,,,,,,CNTNAP2_008_342_40,CNTNAP2,M
258,150,0.581395349,0.608527132,0.069767442,0.004781208,5.323782444,0.000707069,0.097509101,0.653617386,CNTNAP2_008_352_55,CNTNAP2,F
237,150,0.632911392,0.675105485,0.046413502,1,1.004083395,0.06783054,0.170274138,0.583209203,CNTNAP2_008_352_58,CNTNAP2,F
257,179,0.696498054,0.73540856,-0.105058366,,,,,,ChowHFD_177,C57B6/J,M
258,153,0.593023256,0.709302326,0.046511628,0.545379877,0.99236536,-0.131248519,0.990902305,0.494733115,ChowHFD_182,C57B6/J,M
288,173,0.600694444,0.690972222,0.048611111,1,0.757414341,0.178165659,0.786970079,0.574488481,ChowHFD_183,C57B6/J,M
323,217,0.671826625,0.749226006,-0.102167183,0.378686577,3.227217674,-0.29302606,0.056409489,0.405202907,ChowHFD_184,C57B6/J,M
270,153,0.566666667,0.737037037,-0.02962963,,,,,,ChowHFD_185,C57B6/J,M
249,157,0.630522088,0.722891566,-0.012048193,0.606965244,1.088911772,-0.207045615,1,0.454326768,ChowHFD_186,C57B6/J,M
339,225,0.663716814,0.719764012,0.156342183,0.986170948,1.346167088,0.422093719,0.688605309,0.419513083,ChowHFD_187,C57B6/J,M
297,183,0.616161616,0.68013468,0.158249158,0.854399443,0.807020545,0.525167763,1,0.532228207,ChowHFD_189,C57B6/J,M
215,144,0.669767442,0.753488372,0.03255814,0.589682877,1.211948633,-0.027575133,0.525261223,0.514137729,ChowHFD_190,C57B6/J,M
280,195,0.696428571,0.771428571,-0.15,0.838866353,1.362429023,-0.331126273,0.730484426,0.402008602,ChowHFD_670,C57B6/J,M
281,185,0.658362989,0.740213523,0.181494662,,,,,,ChowHFD_671,C57B6/J,M
289,166,0.574394464,0.698961938,0.031141869,,,,,,ChowHFD_672,C57B6/J,M
365,197,0.539726027,0.638356164,-0.134246575,,,,,,ChowHFD_674,C57B6/J,M
248,185,0.745967742,0.774193548,-0.048387097,0.751740634,1.04668653,-0.173851267,1,0.446902798,DNMT3A_002_19_45,DNMT3A,M
271,152,0.560885609,0.649446494,0.10701107,,,,,,DNMT3A_002_19_47,DNMT3A,F
218,150,0.688073394,0.706422018,-0.073394495,1,0.781693339,-0.172071248,0.815173745,0.553499694,DNMT3A_002_19_49,DNMT3A,F
235,170,0.723404255,0.795744681,0.004255319,,,,,,DNMT3A_002_19_53,DNMT3A,F
258,171,0.662790698,0.697674419,-0.023255814,0.031192707,3.045566797,-0.10392797,0.339988858,0.558136814,DNMT3A_002_22_11,DNMT3A,F
199,129,0.648241206,0.668341709,0.035175879,1,1.263163805,-0.123895429,1,0.38481673,DNMT3A_002_22_12,DNMT3A,M
280,187,0.667857143,0.714285714,-0.05,1,1.142809987,-0.129726917,1,0.408303942,DNMT3A_002_22_9,DNMT3A,F
208,120,0.576923077,0.625,0.105769231,,,,,,DNMT3A_002_23_5,DNMT3A,F
247,126,0.510121457,0.587044534,-0.141700405,1,0.535130382,-0.460369378,0.925819337,0.620184091,DNMT3A_002_24_2,DNMT3A,F
255,153,0.6,0.650980392,0.223529412,0.457276583,1.052135706,0.757163942,0.775788605,0.517695887,DNMT3A_002_25_24,DNMT3A,M
239,148,0.619246862,0.686192469,-0.079497908,0,14.47197151,-0.006827768,0.07944084,0.550207545,DNMT3A_002_25_29,DNMT3A,M
217,143,0.658986175,0.69124424,-0.041474654,1,0.879528582,-0.083413482,0.888339639,0.516691287,DNMT3A_002_26_55,DNMT3A,F
325,149,0.458461538,0.547692308,0.181538462,0.041773699,2.118314505,0.187971726,0.198338956,0.626733962,DNMT3A_002_26_56,DNMT3A,F
226,127,0.561946903,0.646017699,0.044247788,0.40039438,1.48992908,0.222474083,0.989419818,0.36161021,DNMT3A_002_26_59,DNMT3A,M
241,131,0.543568465,0.589211618,-0.10373444,0.024112416,1.498997331,-0.193065107,0.54430896,0.607766496,DNMT3A_002_27_40,DNMT3A,M
232,159,0.685344828,0.711206897,0.120689655,,,,,,DNMT3A_002_28_31,DNMT3A,M
346,161,0.465317919,0.505780347,0.023121387,0.000769212,13.17091274,0.007195209,0.047032118,0.645577844,FMR1_007_207_61,FMR1,F
277,188,0.678700361,0.722021661,-0.176895307,0.758792162,1.31958282,-0.457770109,0.940206468,0.371406803,FMR1_007_210_79,FMR1,M
246,137,0.556910569,0.605691057,0.203252033,,,,,,FMR1_007_211_81,FMR1,F
303,184,0.607260726,0.633663366,0.089108911,1,0.489431828,0.378060997,1,0.626515203,FMR1_007_211_83,FMR1,F
215,146,0.679069767,0.730232558,0.069767442,1,0.961685836,0.288000703,1,0.468677929,FMR1_007_213_39,FMR1,M
328,170,0.518292683,0.527439024,0.067073171,0.00904801,1.511876225,0.060974896,0.457923263,0.632757466,FMR1_007_213_40,FMR1,F
260,174,0.669230769,0.692307692,-0.076923077,0.922404408,0.873467207,-0.104050167,0.963872552,0.505184643,FMR1_007_214_94,FMR1,M
298,175,0.587248322,0.647651007,0.020134228,,,,,,FMR1_007_214_98,FMR1,M
241,162,0.67219917,0.68879668,-0.087136929,0.361745656,1.288622975,-0.308237702,0.574666977,0.508716821,FMR1_007_218_77,FMR1,M
227,88,0.387665198,0.550660793,-0.215859031,0.85427618,0.741037965,-0.688763499,1,0.567260339,FMR1_007_221_47,FMR1,M
324,189,0.583333333,0.645061728,0.117283951,0.704310298,0.729671657,0.372294575,1,0.564055926,FMR1_007_221_51,FMR1,M
268,145,0.541044776,0.626865672,-0.089552239,0,4.36085701,-0.02883788,0.188630462,0.612326779,FMR1_007_307_40,FMR1,F
313,188,0.600638978,0.658146965,-0.067092652,0.547454059,0.876701057,-0.175052747,0.700253248,0.573688056,MYT1L_001_10_42,MYT1L,F
351,189,0.538461538,0.683760684,-0.133903134,0.596195042,1.01006484,-0.450473756,0.768288195,0.531333467,MYT1L_001_10_44,MYT1L,M
253,152,0.600790514,0.679841897,0.130434783,1,0.778961897,0.415849417,0.893753231,0.549986587,MYT1L_001_12_45,MYT1L,M
230,132,0.573913043,0.656521739,0.060869565,,,,,,MYT1L_001_12_48,MYT1L,F
381,193,0.50656168,0.603674541,-0.007874016,1,0.599943101,0.017493531,1,0.609034581,MYT1L_001_1_1,MYT1L,F
256,160,0.625,0.6875,0.1796875,0.422334611,1.330584764,0.417275161,0.20618099,0.565783024,MYT1L_001_1_3,MYT1L,M
301,192,0.637873754,0.687707641,0.043189369,0.809747279,0.902662396,0.194997862,0.604849756,0.558696709,MYT1L_001_1_4,MYT1L,F
